Area,Dialpad (master-switch model),Genesys (thin-org model),Ours today,Is this a real gap?,My recommendation,What it takes,Blocked on
Default language,Office setting; a person may override it,On the company record,BUILT - new greetings open in it,Closed,KEEP,Nothing,
Default country,Set by the office country at creation,On the company record,BUILT - number search opens on it,Closed,KEEP,Nothing,
Voicemail policy,Per person and per shared line; no company policy object,10 fields including PIN rules and personal-data suppression,"BUILT - PIN, voicemail-to-text, who may change it",Mostly closed,KEEP + add the 3 email fields,Send voicemail emails at all / keep personal data out / include transcript,Backend
Recording,Office-wide switch with a people-to-exclude list,6 fields including URL lifetimes and storage region,"BUILT - on/off, staff override, announcement wording check, who may listen",Mostly closed,KEEP,Their extra fields are storage-tier detail your customers will not ask about,
Main location,No equivalent - they use Offices instead,Company points at its main site,"BUILT - 'Make main' button, reports if the server refuses",Closed in the app,KEEP,Confirm the server accepts it,Server response untested
Calling permissions,"Office checkboxes: external transfer, international transfer",Dial-string classifications mapped to routes,BUILT - 4 switches incl. outbound-call transfer and menu dial-out,Closed in the app,KEEP OURS,"Ours matches their model, not the routing engine. Right for your customer size",Call switch enforcement
Where company settings live,"A real company screen, deliberately small. Company enables, office configures",No company settings page at all. 15-field identity + ~15 satellite resources,One company screen with nine sections,Both refuse to build a big company page. We built one,"KEEP OURS, BUT SPLIT THE URLS",Our single screen is fine for small customers. What is missing is that each section cannot be linked to or permissioned separately,
Per-setting permissions,"User Settings Policies - 15 named settings can be made read-only, per company/office/user",One permission per settings group,All nine sections behind ONE phone-system permission,REAL - both references solved this and we have not,ADOPT - this is the most important structural gap,"Split into per-section permissions. Frontend hides, server must enforce",Server-side permission layer does not exist
Own URL per screen,Each office settings area is addressable,Every settings resource has its own address,All nine share /company-info/rules,"REAL, AND CHEAP",ADOPT,"Give each section its own route. Frontend only, about a day",Nothing - can do now
Company identity,"Company + Offices, each office a real tenant with its own numbers, billing and holidays",15-field record that never grows,Company address only; the name shown comes from your main location,REAL but narrow,BUILD ONLY WHAT YOU NEED,Add a login short name and a support contact. Skip their reseller and feature-flag fields,Needs a customer-usable company endpoint
Location model,"Office = a full tenant. Numbers, billing, admins, holidays all per office",Location (where people are) and Site (how calls behave) are different objects. Locations nest,One flat location list. A location sets the clock and holds an address,"We are simpler than both, deliberately",KEEP OURS,Their split pays off at enterprise scale. A flat list is easier to explain and covers your customers,
Business hours,"Per line - main line, department, contact centre. Up to 4 periods a day","Reusable schedule objects with recurrence rules, shared across queues","24 hours or per-weekday, set on each line",Closer to Dialpad than Genesys,KEEP OURS,Reusable schedules only pay off with many queues. Do NOT half-build it - a schedule object with per-line overrides is neither model,
Holidays,"Office holidays, preset by country; holiday hours set per line",A holiday schedule inside a schedule group,"Declared once, applied to lines in bulk",Ours is arguably the clearest of the three,KEEP OURS,Nothing. Bulk-apply is something neither reference does as directly,
Custom profile fields,"No - minimal profile: name, photo, job title, pronouns","Admin-defined fields on a person, assignable and searchable",None,REAL - and only one reference has it,BUILD,Let an admin define extra fields on a person and search them. Frontend + one storage key,Nothing blocking a first version
Data retention,"Per office / department / queue / person, with inheritance. Company Admins only",Its own settings resource with archive and delete rules,"Recordings + voicemails, stored but nothing deletes",REAL,"BUILD THE JOB, NOT MORE SETTINGS",The settings exist. What is missing is something that deletes on a schedule,Backend + a scheduled job
Password requirements,Not configurable - fixed by the vendor,"Yes - length, characters, expiry",None,"Real, low urgency",DEFER,Belongs with the sign-in work already parked,Auth layer
Email domain allowlist,No,Yes,None,Low,SKIP FOR NOW,Enterprise requirement. Build when an RFP asks,Auth layer
Published limits,No,"Visible, with a tracked request to raise one",None,Low,SKIP,Your customers will not reach the limits,
Premium-rate blocking,Not a classification layer,"A named classification, reusable across sites","Understood in code, no way to express it","Real for fraud, but heavy",DEFER,The four calling switches cover the common cases. Revisit if fraud actually happens,Call switch
Cross-location management,Anything spanning offices lives at company level and is NOT offered below it,"Divisions scope permissions, not settings",No concept - settings are company-wide or per line,"Worth borrowing the RULE, not the feature",ADOPT THE PRINCIPLE,"Their rule is good discipline: if a setting spans locations, put it at company level and do not repeat it lower down",
