Section,Setting,What it does,Dialpad,Genesys,MCM status,MCM notes,How to test
Company identity,Company name,The name shown across your console,Rename any time,Editable,WORKING,Saves to your console record. Your billing record is separate and only your provider can change that,Admin > Company & Locations > Edit details > change the name > Save. Reload - the new name shows
Company identity,Registered address,Address on your company record,Billing address,On Location records,WORKING,Same as above,"Same screen, change the address, Save, reload"
Company identity,Company ID,The ID to quote on a support ticket,—,Shown for support,WORKING,,Admin > Company & Locations > click 'Company ID' - it copies
Company identity,Main location,Which location is your head office,—,Required; inbound calls fail if wrong,WORKING,Tells you plainly if the server refuses the change,Admin > Company & Locations > on a non-main location click 'Make main' > read the message
Hours & holidays,Business hours,When you are open,Up to 4 periods a day,Reusable schedules,WORKING,,Company Rules > Phone rules > Business Hours > set a weekly pattern > Save
Hours & holidays,Timezone,The clock your hours are read in,Per office,On the site,WORKING,Also fills in from a person's location now,Company Rules > Phone rules > Regional Settings
Hours & holidays,Company holiday list,Holidays declared once for the company,Ready lists for 6 countries,No list,WORKING,"US, UK, India, Canada worked out from the real rules, so they stay right each year",Company Rules > Holidays > pick a country and year > Add > Save
Hours & holidays,Put holidays on one line,"Apply your dates to a queue, menu, person or number",Per line,Shared schedules,WORKING,Set closed-hours action first or it will tell you to,Open any call queue > Business Hours > Custom Days > 'Add company holidays'
Hours & holidays,Put holidays on many lines,Apply to many lines at once,Yes,Built in,WORKING,Skips a line with no closed-hours action and tells you which,Company Rules > Holidays > 'Choose lines' > tick some > Apply > read the per-line results
Ringing & voicemail,Ring time - a person,How long a phone rings before voicemail,30 sec default,"12 sec, 60 max",WORKING,STARTING VALUE ONLY. Someone already set up keeps their own time,Company Rules > Ringing & voicemail > set 45 > Save. Then add a NEW person and open their Call rules - devices show 45
Ringing & voicemail,Ring time - queue members,"Same, for people in a queue",Per line,Per org,WORKING,Same rule,"Set a company ring time, then create a NEW call queue and add a member - their ring time is your value"
Ringing & voicemail,Ring time - departments,"Same, for departments",Per line,Per org,WORKING,Same rule,Create a NEW department after setting a company ring time
Ringing & voicemail,Company voicemail greeting,What callers hear,45 sec max,Yes,WORKING,,Company Rules > Greetings > Voicemail message
Ringing & voicemail,Transcribe voicemail by default,New people get voicemail-to-text on or off,Per person,Org policy,WORKING,Fixed a real bug: it used to be forced ON regardless of your policy,Company Rules > Policies > turn it OFF > Save. Then set up a NEW person - their voicemail-to-text is off
Ringing & voicemail,Who may change their own voicemail,Lock a person out of their voicemail settings,Settings policy,Roles,WORKING,,Company Rules > Ringing & voicemail > Voicemail > untick the override > Save. Sign in as that person - their voicemail settings are greyed out
Recording,Recording per person,Record that person's calls,Office-wide + exclusions,Trunk switch,WORKING,,Company Rules > Phone rules > Automatic Call Recording
Recording,Transcription,Write calls out as text,Yes,Yes,WORKING,,Company Rules > Phone rules > Automatic Transcription
Recording,AI call monitoring,AI watches calls,Yes,Yes,WORKING,Turning it on forces transcription on,Company Rules > Phone rules > AI Call Monitoring
Recording,Recording announcement wording,Checks your wording is compliant,Strict two-part rule,—,WORKING,Blocks the save if the wording is not compliant,Company Rules > Policies > Call recording > type 'This call may be recorded for quality purposes' > it goes red and will not save
Locking & applying,Lock a setting for everyone,Nobody may change it on their own phone,Separate settings policy,Roles,WORKING,"THE BIG ONE. Apply and lock are now separate, so 'everyone gets this and nobody may change it' finally works",Company Rules > Phone rules > untick an override > Save. Sign in as a normal user - that setting is greyed out
Locking & applying,Apply a value to a person,Company value copied onto someone,Templates,Policies,WORKING,Separate from the lock now,"Set a company rule, then set up a new person - they receive it"
