Area,How ours works today,How Dialpad works,How Genesys works,What to change,Priority,Notes
Override / locking rules,One flag. On a person's page it means 'they may change it'. When applying rules to a new person it means 'copy this onto them',"Two separate things: a template that seeds values, and a policy that locks them",Roles and divisions decide who may change what,Split ours into two flags: 'apply to people' and 'people may change'. Keep the old flag readable so existing data still works,MUST,"Today, leaving override off gives a person who gets nothing AND cannot set it"
Where opening hours live,"On each person, queue and menu separately. A location has no hours",The office has hours; lines inherit and can differ,A site points at a schedule group; schedules are shared objects,"Let a location carry hours, and have people and queues inherit from their location unless they set their own",MUST,Our own screen already promises a location sets the clock
Which timezone opening hours are read in,Each person's own timezone,The office timezone,The schedule group's timezone,"Read the location's timezone first, fall back to the person's",MUST,A London queue can currently run on Mumbai time
Company recording switch,The company setting is decorative. Real recording is driven only by each person's own setting,"An office-wide switch, with a list of people to leave out",One switch on the trunk - all or nothing,"Make the company setting the master, with per-person exceptions under it. Follow Dialpad",MUST,Setting the company switch to Off today does not stop a single recording
Who may transfer a call outside the company,Allowed for anything three digits or longer. No permission is checked,Off by default. International is a separate switch under it. Transferring your own outbound call needs support to unlock,Decided by number plans and outbound routes per site,Check the stored permission before offering or accepting an external transfer,MUST,Toll fraud route. The settings screen exists already - nothing reads it
Permission checks,Enforced in the browser. Buttons are hidden but the request still works,Enforced on the server,"Enforced on the server, per role and division",Add a server-side permission layer. Every route checks what the caller may do,MUST,"Without this, any signed-in user can make themselves an admin"
Ring time before voicemail,Only exists per queue member. A person has none,Per line and per person. 30 seconds default,"Per org with a per-user override. 12 seconds default, 60 max","Add a company default and a per-person value. Use 30 seconds, allow 5-60",MUST,One of the two numbers customers change first
Emergency address level,One address for the whole company,"Per office, plus up to 10 personal places for people who travel","Per location, and phones cannot be used until it is set","Move it to the location, keeping the company one as the fallback",SHOULD,A two-office company currently sends the wrong address for one of them
Which location is the main one,A flag that is displayed but cannot be changed,-,A real setting. Inbound calls fail if it is wrong,"Make it selectable, and say plainly what it decides",SHOULD,
Holidays: what happens on the day,Every holiday must be given its own action or the form will not save,"A holiday borrows the line's closed-hours behaviour, and you can set open hours for part of the day",A holiday schedule sits inside a schedule group with a fixed order,Default a new holiday to the line's closed-hours action instead of demanding one. Allow part-day open hours,SHOULD,The company holiday import already does this. Manual holidays still ask
Order the rules are checked in,Not defined. Each line decides for itself,A holiday beats normal opening hours,"Emergency, then holiday, then closed, then open. Closed is the fallback","Pick one order, apply it everywhere, and show it on screen",SHOULD,Customers test this on the first public holiday and remember the answer
Caller ID choices offered to a person,Only numbers assigned to that person,"Their own numbers, plus the main company number and any group numbers they belong to","Set on the site, plus call-flow logic","Add the company and group numbers to the picker, gated by the permission we already store",SHOULD,The permission screen exists but there is nothing for it to allow
How long data is kept,"One company-wide setting, and nothing deletes anything","Set per office, department, queue, coaching team or person, with inheritance","Rules that match interactions and decide keep, archive or delete","Make the company setting real first, then allow it per queue and per person",SHOULD,Do not build the one-off purge until this works
Voicemail default for new people,Stored as a company default; nothing applies it,New people inherit the office setting,Org policy with a per-user override,Apply the company voicemail defaults when a person is created,SHOULD,
Applying a holiday to many lines,One line at a time,Pick the lines and apply in one go; it overrides an office holiday already there,"Schedules are shared by design, so nothing needs applying",Add a multi-select to the company holiday screen,SHOULD,Cheapest item here - the import logic already exists
Holidays allowed on one line,10,No documented limit,No documented limit,Raise to 25,SHOULD,"The US federal list is 11, so a full US year does not fit today"
Company name shown on screen,"Read from the main location's name, because the company's own name cannot be fetched",The company record,The organisation record,Read the real company name once a customer-usable endpoint exists,SHOULD,Renaming the main location silently renames the company on screen
How company rules reach a person,"Copied onto the person when they are created, then never again",Templates seed; policies keep applying,"Policies are evaluated live, not copied","Decide whether a change to company rules should reach people who already exist, and say so on screen",SHOULD,Today an admin changes a company rule and nothing happens to existing staff
Transcription and AI monitoring values,"Stored as an object with an on/off and an override, but applying a template writes a bare true/false",-,-,Write the same shape everywhere,SHOULD,Applying a company template recreates the exact legacy data the code elsewhere works around
Two-step sign-in,Recorded as a preference; nothing enforces it,"Required for everyone not on single sign-on, with a small exception list admins cannot join",An optional switch that never applies to single sign-on users,Enforce it. Follow Dialpad's posture - on by default,LATER,
Signing people out when idle,Recorded; nothing signs anyone out,"Fixed at 30 days, not adjustable","5 minutes to 8 hours, configurable","Enforce it, following the Genesys range",LATER,
Texting switches,Recorded; nothing is gated on them,"The company switch also stops the SMS API and text surveys, but internal messaging keeps working",-,"Gate sending on the company switch, matching Dialpad's scope",LATER,"The real block today is the 10DLC brand check, which already works"
HELP reply to a text,"Stored, never sent. The keyword section of the 10DLC campaign form is commented out","Free text on the office, sent automatically",-,"Either send it, or submit it with the 10DLC campaign registration",LATER,
Language for menus and voicemail,Recorded as a company default; prompts play in whatever language they were recorded in,"20 languages, everyone inherits the office, overridable per person and per queue",Sets notification-email language only,Use the company language when generating prompts and voicemail,LATER,
Releasing a phone number,"Clears the forwarding and hides the number, but never tells the carrier",-,-,Call the carrier's terminate endpoint when a number is released,MUST,Released numbers stay live and billable at DIDWW. Worth comparing an invoice against numbers visible in the product
Role stored on a user,Most rows hold a role ID where the code expects a role name,-,-,Repair the data and make both screens write the same thing,MUST,"Already breaks at least four safety checks, including the one stopping an admin being deleted"
