Area,How they do it,How we do it today,Is this a real gap?,My recommendation,What it takes,Blocked on
Voicemail policy,10 fields including PIN rules and personal-data suppression,"NOW BUILT - company voicemail editor exists (PIN, voicemail-to-text, who may change it)",Partly closed,KEEP OURS + add the email fields,"Add three switches: send voicemail emails at all, keep personal details out, include transcript",The three email fields need the backend
Default language,On the company record,NOW WORKS - new greetings open in it,Closed,KEEP,Nothing,
Default country,On the company record,NOW BUILT - number search opens on it,Closed,KEEP,Nothing,
Main location,Company points at its main site,"NOW SETTABLE - 'Make main' button, tells you if the server refuses",Closed in the app,KEEP,Confirm the server accepts it,Server may refuse - untested
Calling permissions,Dial-string classifications mapped to routes,"NOW 4 CONTROLS - external transfer, international, outbound-call transfer, menu dial-out","Different shape, similar outcome",KEEP OURS,Theirs is a routing engine; ours is four switches. Ours is right for your customer size,Enforcement needs the call switch
Recording,6 fields including URL lifetimes and storage region,"NOW: on/off, staff override, announcement wording check, and who may listen",Mostly closed,KEEP,Their extra fields are storage-tier detail your customers will not ask for,
Per-setting permissions,One permission per settings group - you can let someone manage holidays without giving them recording,All nine sections behind ONE phone-system permission,REAL AND IMPORTANT,ADOPT THEIRS,"Split the nine sections into separate permissions. Frontend can hide, server must enforce",Needs the server-side permission layer - does not exist
Own URL per screen,Every settings resource has its own address,"All nine sections share /company-info/rules - no deep link, no bookmark, support cannot send someone straight there","REAL, AND CHEAP TO FIX",ADOPT THEIRS,"Give each section its own route. Frontend only, about a day",Nothing - we can do this now
Company identity,15-field record,"Company address only, and the name shown comes from your main location",REAL,"BUILD THE FIELDS WE NEED, NOT 15","Add: login short name, support contact. Skip their reseller and feature-flag fields",Needs a customer-usable company endpoint
Settings storage,~15 separately-owned resources,One settings record holding everything,"Architectural difference, NOT a defect",KEEP OURS,Nothing. Their split exists because enterprises have dozens of specialised admins. One record is simpler and works,
Custom profile fields,"Admin-defined fields on a person, assignable and searchable",None at all,REAL,BUILD,Let an admin define extra fields on a person and search them. Frontend + one storage key. Medium size,Nothing blocking a first version
Password requirements,"Yes - length, characters, expiry",None,Real but low urgency,DEFER,Belongs with the sign-in work already parked,Auth layer - parked with MFA and SSO
Email domain allowlist,Yes - which domains may embed or sign in,None,Low,SKIP FOR NOW,Enterprise requirement. Build when an RFP asks,Auth layer
Published limits,"Visible, with a route to request an increase",None,Low,SKIP,Useful at enterprise scale. Your customers will not hit the limits,
Premium-rate blocking,"A named classification, reusable across sites","Understood in code, but no classification layer to express it","Real for fraud, but heavy",DEFER,Needs the dial-string classification layer. Do the four calling switches first - they cover the common cases,Call switch
Business hours,"Schedules with a recurrence rule, reusable across queues","24 hours or per-weekday, set on each line",Different shape,KEEP OURS FOR NOW,Reusable schedules only pay off when a customer runs many queues. Revisit if that happens - do NOT half-build it,
Holidays,A holiday schedule inside a schedule group,"Own tab, declared once, applied to lines in bulk",Ours is arguably simpler and works,KEEP OURS,Nothing. This is one of the places ours is easier to understand than theirs,
Data retention,Its own settings resource with archive and delete rules,"Recordings + voicemails retention, stored but nothing deletes",REAL,BUILD THE JOB,The settings exist. What is missing is something that actually deletes on a schedule,Needs backend + a scheduled job
